loc,comment_lines,blank_lines,cyclomatic_complexity,halstead_volume,halstead_difficulty,maintainability_index,num_methods,num_classes,coupling,cohesion,inheritance_depth,num_children,weighted_methods_per_class,response_for_class,lack_of_cohesion,code_churn,num_commits,num_authors,file_age_days,num_revisions,num_bugs_historical,num_bug_fixes,test_coverage,comment_ratio,duplicate_code_ratio,fan_in,fan_out,num_dependencies,defect,complexity_per_loc,bug_density,churn_per_commit
70,34,16,14,964.9396186546531,8.507552772225607,54.6509193382819,13,3,4,0.9000238772714798,1,2,15,13,0.3251628116565682,63,18,3,361,14,4,1,38.636396354309696,0.3974259231625987,0.005693264152731783,2,4,3,1,0.19718309859154928,56.33802816901409,3.3157894736842106
553,20,18,35,1313.744485215494,7.608484721741812,81.37773596185897,11,4,4,0.8130845574624466,2,0,15,14,0.7102954700020075,44,30,3,44,14,1,2,69.83245557123979,0.2995239779227489,0.04745931375581696,7,3,9,0,0.0631768953068592,1.8050541516245489,1.4193548387096775
516,8,2,10,305.59086385262225,12.751174607912283,67.85078235954336,11,4,5,0.6105111819524304,2,3,15,13,0.387073800616335,43,21,4,655,17,1,1,34.24648519058846,0.17282527816541446,0.1814650340204588,2,4,4,1,0.019342359767891684,1.9342359767891684,1.9545454545454546
29,35,10,11,400.4860396246555,4.9534036454049355,44.53265816571404,4,1,4,0.7106363998473336,0,2,13,11,0.355526144245275,52,21,5,12,13,1,4,38.83699115061622,0.11023562984238583,0.23086926572627298,2,3,7,0,0.36666666666666664,33.333333333333336,2.3636363636363638
34,3,7,14,1962.6583199152992,5.747407684466495,99.12724358821089,7,6,2,0.6688425769457377,4,1,14,16,0.23930355626596794,54,15,7,390,12,1,4,80.55089674125763,0.16869139024094737,0.018519091070440735,0,4,7,0,0.4,28.57142857142857,3.375
26,4,9,25,746.8622784487874,3.096568868858917,47.802453065179,16,5,4,0.9085319623743645,2,1,13,19,0.45852586203659623,48,20,2,34,16,4,0,72.937795838663,0.13716523296547128,0.03478218696599616,3,4,2,1,0.9259259259259259,148.14814814814815,2.2857142857142856
952,41,10,4,3558.9310197100062,17.701105077479887,66.8024081290635,15,6,7,0.5809986099350196,0,1,20,13,0.12342203759136551,58,16,1,516,19,4,2,76.04208667572682,0.5690014589248221,0.09121307448834329,4,3,4,0,0.004197271773347324,4.197271773347325,3.411764705882353
161,14,4,4,916.5871831048315,15.388857767198438,100.0,14,6,7,0.6450442444635611,2,2,16,10,0.2498399358243349,58,25,4,174,14,1,2,89.87867499919768,0.512262660086566,0.18061911615406956,8,4,2,0,0.024691358024691357,6.172839506172839,2.230769230769231
140,5,7,11,664.0879933227711,13.167231098471484,43.32805333133775,10,4,6,0.8007524957812915,3,1,17,9,0.2969516192873071,44,27,3,156,22,0,0,48.56893578327254,0.3763623817934744,0.09525326889311783,2,2,5,0,0.07801418439716312,0.0,1.5714285714285714
258,18,4,3,468.713472438791,12.262016356286429,59.77117706040962,11,2,7,0.6350087759343667,3,0,13,14,0.47800869866633716,52,23,3,521,17,2,2,53.683210540089554,0.23809614067397858,0.10632524086005886,0,5,5,0,0.011583011583011582,7.722007722007723,2.1666666666666665
