loc,comment_lines,blank_lines,cyclomatic_complexity,halstead_volume,halstead_difficulty,maintainability_index,num_methods,num_classes,coupling,cohesion,inheritance_depth,num_children,weighted_methods_per_class,response_for_class,lack_of_cohesion,code_churn,num_commits,num_authors,file_age_days,num_revisions,num_bugs_historical,num_bug_fixes,test_coverage,comment_ratio,duplicate_code_ratio,fan_in,fan_out,num_dependencies,defect,complexity_per_loc,bug_density,churn_per_commit
191,10,4,15,1524.2652145383604,10.488573965793469,67.5075362766576,15,3,6,0.49421378731242965,5,1,11,12,0.3128356470786827,51,23,1,250,15,0,1,54.42612759996128,0.09423680253187101,0.10323515992576117,2,7,7,1,0.078125,0.0,2.125
59,11,5,4,312.28207541625284,12.110143032528038,94.60030891256584,17,5,6,0.7487103863586837,2,1,17,9,0.6792503787122611,50,20,3,772,7,2,4,65.21431666720079,0.18671551967937122,0.03480108812614078,5,1,3,0,0.06666666666666667,33.333333333333336,2.380952380952381
101,17,15,18,1425.9914353045335,5.502492493093524,41.27475137101335,10,6,6,0.9042899855791381,0,1,13,12,0.27377222508828314,56,29,3,22,20,0,0,76.5885193085224,0.10661047042038367,0.04417846720539116,2,3,3,0,0.17647058823529413,0.0,1.8666666666666667
86,83,28,12,1526.5618777628856,11.25119165871034,64.3005721088278,10,6,6,0.7306394597118949,1,2,11,12,0.12248873046750879,61,25,2,190,12,2,1,70.08513792536418,0.3894337972214303,0.01922414611168052,3,3,2,0,0.13793103448275862,22.988505747126435,2.3461538461538463
350,18,4,2,892.6782491347416,7.831246841430732,79.51269120099207,12,4,7,0.3455535610665711,1,0,14,11,0.3563977166060436,53,27,2,218,19,3,0,65.71109397609658,0.24587265907750758,0.09299486155959377,2,4,5,0,0.005698005698005698,8.547008547008549,1.8928571428571428
98,53,11,13,976.7315781845787,4.918103664537154,58.090610637745755,8,3,5,0.6637208875823446,1,2,15,12,0.1793078274184872,56,22,2,338,16,5,0,80.83973620953354,0.11828185464861937,0.24390130452357664,1,6,6,0,0.13131313131313133,50.505050505050505,2.4347826086956523
244,7,7,11,314.9197921253561,7.746148638321213,98.61448961804363,16,3,7,0.5181138896530519,2,2,20,16,0.27743871906462286,55,27,6,206,19,3,2,54.19028245940943,0.18363665189880185,0.028888447376410893,2,10,2,0,0.044897959183673466,12.244897959183673,1.9642857142857142
1107,29,4,3,4040.086998761713,2.3326097760347975,78.4665236001902,7,4,7,0.6316836727109753,2,2,14,9,0.6457699647514709,49,18,2,244,11,4,0,62.92121123146052,0.3574916283381675,0.009032123701665826,5,3,6,0,0.002707581227436823,3.6101083032490977,2.5789473684210527
524,25,5,15,1159.4681010467293,17.6590413128686,29.068807204750673,12,3,8,0.639659121267378,2,1,8,13,0.4361611536659912,43,24,8,79,12,2,0,85.69408157289789,0.6103017100369957,0.0658942125013851,2,7,6,1,0.02857142857142857,3.8095238095238093,1.72
95,27,2,5,608.4258390246961,9.361752348842456,100.0,14,4,9,0.663219833194469,3,0,19,9,0.39607293577534425,66,12,3,41,21,1,1,82.747941291438,0.24672899952194544,0.08050399877543934,3,4,4,0,0.052083333333333336,10.416666666666666,5.076923076923077
